file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,libdeflate,524416,524417,288362,Scanline,306.029,258.389,564.419,279.700,true
"big-char.dds",1,7,20,libdeflate,524416,524417,364356,Z-order,67.816,527.486,595.301,410.853,true
"bricks.dds",1,7,20,libdeflate,32896,32897,26975,Scanline,3.809,267.510,271.320,213.080,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,33554561,11783604,Z-order,881.816,3429.808,4311.623,2705.948,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,33554561,9648326,Z-order,1177.605,3213.841,4391.445,1901.516,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,33554561,9831124,Z-order,1008.467,3339.518,4347.985,1318.444,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,33554561,1116122,Z-order,763.897,620.506,1384.403,756.050,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,33554561,3716565,Z-order,1061.588,2904.956,3966.544,1072.557,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,33554561,10284166,Z-order,1155.643,4138.743,5294.386,1591.551,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,33554561,10881787,Z-order,1657.088,3504.741,5161.829,1358.226,true
"kodim01.dds",1,7,20,libdeflate,196736,196737,146292,Scanline,4.249,124.818,129.067,141.521,true
"kodim02.dds",1,7,20,libdeflate,196736,196737,133761,Scanline,3.252,251.234,254.486,155.323,true
"kodim03.dds",1,7,20,libdeflate,196736,196737,124642,Scanline,1.115,183.209,184.324,188.562,true
"kodim04.dds",1,7,20,libdeflate,196736,196737,143276,Scanline,3.066,254.686,257.752,180.754,true
"kodim05.dds",1,7,20,libdeflate,196736,196737,159598,Scanline,2.092,202.005,204.097,165.328,true
"kodim06.dds",1,7,20,libdeflate,196736,196737,136318,Scanline,21.644,196.796,218.440,411.000,true
"kodim07.dds",1,7,20,libdeflate,196736,196737,131167,Scanline,5.227,158.251,163.479,114.326,true
"kodim08.dds",1,7,20,libdeflate,196736,196737,159148,Scanline,1.464,168.819,170.283,93.034,true
"kodim09.dds",1,7,20,libdeflate,196736,196737,129761,Scanline,1.891,189.655,191.546,210.899,true
"kodim10.dds",1,7,20,libdeflate,196736,196737,137986,Scanline,10.170,238.174,248.344,170.476,true
"kodim11.dds",1,7,20,libdeflate,196736,196737,139869,Scanline,2.466,163.061,165.527,204.295,true
"kodim12.dds",1,7,20,libdeflate,196736,196737,128360,Scanline,11.096,809.920,821.016,216.160,true
"kodim13.dds",1,7,20,libdeflate,196736,196737,161615,Scanline,1.748,278.219,279.967,486.044,true
"kodim14.dds",1,7,20,libdeflate,196736,196737,150781,Scanline,3.760,299.496,303.256,180.342,true
"kodim15.dds",1,7,20,libdeflate,196736,196737,137228,Scanline,1.292,212.365,213.656,131.999,true
"kodim16.dds",1,7,20,libdeflate,196736,196737,126091,Scanline,1.876,163.015,164.892,126.204,true
"kodim17.dds",1,7,20,libdeflate,196736,196737,139617,Scanline,2.494,113.281,115.775,120.628,true
"kodim18.dds",1,7,20,libdeflate,196736,196737,159436,Scanline,2.184,115.253,117.437,132.464,true
"kodim19.dds",1,7,20,libdeflate,196736,196737,139930,Scanline,2.923,121.414,124.337,144.100,true
"kodim20.dds",1,7,20,libdeflate,196736,196737,117601,Scanline,1.892,94.694,96.586,132.812,true
"kodim21.dds",1,7,20,libdeflate,196736,196737,139186,Scanline,1.047,79.418,80.465,163.439,true
"kodim22.dds",1,7,20,libdeflate,196736,196737,154179,Scanline,6.759,93.910,100.670,176.984,true
"kodim23.dds",1,7,20,libdeflate,196736,196737,143749,Scanline,1.721,100.924,102.645,158.444,true
"kodim24.dds",1,7,20,libdeflate,196736,196737,147000,Scanline,1.785,128.372,130.157,201.536,true
"lorikeet.dds",1,7,20,libdeflate,131200,131201,109771,Z-order,15.607,186.503,202.110,419.137,true
"mountains.dds",1,7,20,libdeflate,32896,32897,18322,Z-order,3.229,252.371,255.599,217.539,true
"satellite.dds",1,7,20,libdeflate,32896,32897,27950,Scanline,1.732,91.400,93.132,225.140,true
"small-char.dds",1,7,20,libdeflate,131200,131201,72724,Z-order,2.634,159.057,161.691,256.244,true
"spnza_bricks_a_diff.dds",1,7,20,libdeflate,524416,524417,371725,Scanline,24.169,136.561,160.730,136.257,true
"sponza_arch_diff.dds",1,7,20,libdeflate,524416,524417,294449,Scanline,6.565,133.935,140.501,126.230,true
"sponza_ceiling_a_diff.dds",1,7,20,libdeflate,524416,524417,366949,Z-order,8.491,221.787,230.278,128.267,true
"sponza_column_a_diff.dds",1,7,20,libdeflate,524416,524417,372612,Scanline,17.902,178.355,196.257,176.932,true
"sponza_column_b_diff.dds",1,7,20,libdeflate,524416,524417,393484,Scanline,17.253,215.167,232.420,193.870,true
"sponza_column_c_diff.dds",1,7,20,libdeflate,524416,524417,399315,Scanline,8.842,181.945,190.787,158.949,true
"sponza_curtain_diff.dds",1,7,20,libdeflate,2097280,2097281,1510060,Scanline,80.438,601.237,681.674,2347.570,true
"sponza_details_diff.dds",1,7,20,libdeflate,524416,524417,320737,Z-order,253.641,1285.117,1538.758,315.705,true
"sponza_fabric_green_diff.dds",1,7,20,libdeflate,524416,524417,325823,Scanline,30.706,359.916,390.622,142.475,true
"sponza_flagpole_diff.dds",1,7,20,libdeflate,524416,524417,290666,Z-order,78.428,160.235,238.663,134.947,true
"sponza_floor_a_diff.dds",1,7,20,libdeflate,524416,524417,367043,Scanline,29.812,252.076,281.888,146.880,true
"sponza_roof_diff.dds",1,7,20,libdeflate,524416,524417,442637,Scanline,10.281,176.013,186.293,156.680,true
"un512.dds",1,7,20,libdeflate,131200,131201,102630,Scanline,11.279,185.470,196.749,145.311,true
"vase_dif.dds",1,7,20,libdeflate,524416,524417,383352,Z-order,49.626,233.523,283.149,175.841,true
"vase_hanging.dds",1,7,20,libdeflate,524416,524417,292126,Scanline,58.447,323.574,382.021,327.061,true
"vase_round.dds",1,7,20,libdeflate,524416,524417,370773,Scanline,8.655,164.538,173.194,142.541,true
"vector-streets.dds",1,7,20,libdeflate,32896,32897,7632,Z-order,1.768,121.463,123.231,203.394,true
