file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,libdeflate,524416,288362,1.818603,18.584,198.734,217.318,144.380,true
"big-char.dds",1,7,20,libdeflate,524416,364356,1.439296,27.887,157.367,185.254,349.921,true
"bricks.dds",1,7,20,libdeflate,32896,26975,1.219500,3.635,161.276,164.911,264.639,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,11783604,2.847563,1104.612,3800.493,4905.106,1322.517,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,9648326,3.477760,1202.257,2256.742,3458.999,741.127,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,9831124,3.413095,624.943,2365.686,2990.629,898.825,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,1116122,30.063524,521.206,520.081,1041.286,793.962,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,3716565,9.028380,773.501,932.112,1705.614,717.714,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,10284166,3.262740,567.706,2444.672,3012.378,673.891,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,10881787,3.083552,559.141,1574.973,2134.114,1049.174,true
"kodim01.dds",1,7,20,libdeflate,196736,146292,1.344817,1.362,69.510,70.871,109.983,true
"kodim02.dds",1,7,20,libdeflate,196736,133761,1.470802,1.288,97.882,99.169,117.602,true
"kodim03.dds",1,7,20,libdeflate,196736,124642,1.578409,1.287,66.425,67.713,56.097,true
"kodim04.dds",1,7,20,libdeflate,196736,143276,1.373126,1.222,52.125,53.347,65.250,true
"kodim05.dds",1,7,20,libdeflate,196736,159598,1.232697,2.537,68.820,71.357,66.447,true
"kodim06.dds",1,7,20,libdeflate,196736,136318,1.443214,4.606,78.383,82.989,78.820,true
"kodim07.dds",1,7,20,libdeflate,196736,131167,1.499889,1.372,51.676,53.048,63.335,true
"kodim08.dds",1,7,20,libdeflate,196736,159148,1.236183,1.632,60.833,62.465,69.808,true
"kodim09.dds",1,7,20,libdeflate,196736,129761,1.516141,1.476,73.364,74.841,68.246,true
"kodim10.dds",1,7,20,libdeflate,196736,137986,1.425768,1.549,68.049,69.599,62.498,true
