file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,miniz,524416,524417,288362,Scanline,138.980,800.226,939.206,1520.046,true
"big-char.dds",1,7,20,miniz,524416,524417,364356,Z-order,81.751,533.739,615.489,578.309,true
"bricks.dds",1,7,20,miniz,32896,32897,27026,Z-order,16.509,281.067,297.576,1054.083,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,33554561,11783604,Z-order,3287.596,6725.036,10012.632,2378.939,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,33554561,9648326,Z-order,2060.483,4264.522,6325.006,2049.260,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,33554561,9831124,Z-order,2080.499,3853.482,5933.981,3310.796,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,33554561,1116122,Z-order,892.019,576.527,1468.546,682.961,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,33554561,3716565,Z-order,958.886,1464.346,2423.232,1263.856,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,33554561,10284166,Z-order,1488.154,3734.025,5222.179,1307.206,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,33554561,10881787,Z-order,1329.156,2974.556,4303.712,1125.384,true
"kodim01.dds",1,7,20,miniz,196736,196737,146292,Scanline,9.627,141.169,150.796,87.967,true
"kodim02.dds",1,7,20,miniz,196736,196737,133761,Scanline,6.993,122.552,129.545,79.897,true
"kodim03.dds",1,7,20,miniz,196736,196737,124642,Scanline,1.397,129.615,131.012,302.937,true
"kodim04.dds",1,7,20,miniz,196736,196737,143276,Scanline,4.002,260.467,264.469,184.753,true
"kodim05.dds",1,7,20,miniz,196736,196737,159598,Scanline,13.077,171.799,184.876,95.714,true
"kodim06.dds",1,7,20,miniz,196736,196737,136318,Scanline,2.276,140.819,143.095,699.061,true
"kodim07.dds",1,7,20,miniz,196736,196737,131167,Scanline,17.862,238.504,256.365,132.433,true
"kodim08.dds",1,7,20,miniz,196736,196737,159148,Scanline,3.128,104.083,107.211,192.953,true
"kodim09.dds",1,7,20,miniz,196736,196737,129761,Scanline,8.452,192.625,201.078,113.039,true
"kodim10.dds",1,7,20,miniz,196736,196737,137986,Scanline,25.789,136.969,162.758,150.100,true
"kodim11.dds",1,7,20,miniz,196736,196737,139869,Scanline,1.844,146.788,148.632,183.772,true
"kodim12.dds",1,7,20,miniz,196736,196737,128360,Scanline,18.702,185.310,204.012,167.235,true
