file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"sponza_details_diff.dds",1,7,20,libdeflate,524416,320737,1.635034,253.641,1285.117,1538.758,315.705,true
"sponza_fabric_green_diff.dds",1,7,20,libdeflate,524416,325823,1.609512,30.706,359.916,390.622,142.475,true
"sponza_flagpole_diff.dds",1,7,20,libdeflate,524416,290666,1.804188,78.428,160.235,238.663,134.947,true
"sponza_floor_a_diff.dds",1,7,20,libdeflate,524416,367043,1.428759,29.812,252.076,281.888,146.880,true
"sponza_roof_diff.dds",1,7,20,libdeflate,524416,442637,1.184754,10.281,176.013,186.293,156.680,true
"un512.dds",1,7,20,libdeflate,131200,102630,1.278379,11.279,185.470,196.749,145.311,true
"vase_dif.dds",1,7,20,libdeflate,524416,383352,1.367975,49.626,233.523,283.149,175.841,true
"vase_hanging.dds",1,7,20,libdeflate,524416,292126,1.795171,58.447,323.574,382.021,327.061,true
"vase_round.dds",1,7,20,libdeflate,524416,370773,1.414386,8.655,164.538,173.194,142.541,true
"vector-streets.dds",1,7,20,libdeflate,32896,7632,4.310273,1.768,121.463,123.231,203.394,true
