file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,libdeflate,524416,288362,1.818603,306.029,258.389,564.419,279.700,true
"big-char.dds",1,7,20,libdeflate,524416,364356,1.439296,67.816,527.486,595.301,410.853,true
"bricks.dds",1,7,20,libdeflate,32896,26975,1.219500,3.809,267.510,271.320,213.080,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,11783604,2.847563,881.816,3429.808,4311.623,2705.948,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,9648326,3.477760,1177.605,3213.841,4391.445,1901.516,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,9831124,3.413095,1008.467,3339.518,4347.985,1318.444,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,1116122,30.063524,763.897,620.506,1384.403,756.050,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,3716565,9.028380,1061.588,2904.956,3966.544,1072.557,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,10284166,3.262740,1155.643,4138.743,5294.386,1591.551,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,10881787,3.083552,1657.088,3504.741,5161.829,1358.226,true
"kodim01.dds",1,7,20,libdeflate,196736,146292,1.344817,4.249,124.818,129.067,141.521,true
"kodim02.dds",1,7,20,libdeflate,196736,133761,1.470802,3.252,251.234,254.486,155.323,true
"kodim03.dds",1,7,20,libdeflate,196736,124642,1.578409,1.115,183.209,184.324,188.562,true
"kodim04.dds",1,7,20,libdeflate,196736,143276,1.373126,3.066,254.686,257.752,180.754,true
"kodim05.dds",1,7,20,libdeflate,196736,159598,1.232697,2.092,202.005,204.097,165.328,true
"kodim06.dds",1,7,20,libdeflate,196736,136318,1.443214,21.644,196.796,218.440,411.000,true
"kodim07.dds",1,7,20,libdeflate,196736,131167,1.499889,5.227,158.251,163.479,114.326,true
"kodim08.dds",1,7,20,libdeflate,196736,159148,1.236183,1.464,168.819,170.283,93.034,true
"kodim09.dds",1,7,20,libdeflate,196736,129761,1.516141,1.891,189.655,191.546,210.899,true
"kodim10.dds",1,7,20,libdeflate,196736,137986,1.425768,10.170,238.174,248.344,170.476,true
"kodim11.dds",1,7,20,libdeflate,196736,139869,1.406573,2.466,163.061,165.527,204.295,true
"kodim12.dds",1,7,20,libdeflate,196736,128360,1.532689,11.096,809.920,821.016,216.160,true
"kodim13.dds",1,7,20,libdeflate,196736,161615,1.217313,1.748,278.219,279.967,486.044,true
"kodim14.dds",1,7,20,libdeflate,196736,150781,1.304780,3.760,299.496,303.256,180.342,true
"kodim15.dds",1,7,20,libdeflate,196736,137228,1.433643,1.292,212.365,213.656,131.999,true
"kodim16.dds",1,7,20,libdeflate,196736,126091,1.560270,1.876,163.015,164.892,126.204,true
"kodim17.dds",1,7,20,libdeflate,196736,139617,1.409112,2.494,113.281,115.775,120.628,true
"kodim18.dds",1,7,20,libdeflate,196736,159436,1.233950,2.184,115.253,117.437,132.464,true
"kodim19.dds",1,7,20,libdeflate,196736,139930,1.405960,2.923,121.414,124.337,144.100,true
"kodim20.dds",1,7,20,libdeflate,196736,117601,1.672911,1.892,94.694,96.586,132.812,true
"kodim21.dds",1,7,20,libdeflate,196736,139186,1.413475,1.047,79.418,80.465,163.439,true
"kodim22.dds",1,7,20,libdeflate,196736,154179,1.276023,6.759,93.910,100.670,176.984,true
"kodim23.dds",1,7,20,libdeflate,196736,143749,1.368608,1.721,100.924,102.645,158.444,true
"kodim24.dds",1,7,20,libdeflate,196736,147000,1.338340,1.785,128.372,130.157,201.536,true
"lorikeet.dds",1,7,20,libdeflate,131200,109771,1.195215,15.607,186.503,202.110,419.137,true
"mountains.dds",1,7,20,libdeflate,32896,18322,1.795437,3.229,252.371,255.599,217.539,true
"satellite.dds",1,7,20,libdeflate,32896,27950,1.176959,1.732,91.400,93.132,225.140,true
"small-char.dds",1,7,20,libdeflate,131200,72724,1.804081,2.634,159.057,161.691,256.244,true
"spnza_bricks_a_diff.dds",1,7,20,libdeflate,524416,371725,1.410763,24.169,136.561,160.730,136.257,true
"sponza_arch_diff.dds",1,7,20,libdeflate,524416,294449,1.781008,6.565,133.935,140.501,126.230,true
"sponza_ceiling_a_diff.dds",1,7,20,libdeflate,524416,366949,1.429125,8.491,221.787,230.278,128.267,true
"sponza_column_a_diff.dds",1,7,20,libdeflate,524416,372612,1.407405,17.902,178.355,196.257,176.932,true
"sponza_column_b_diff.dds",1,7,20,libdeflate,524416,393484,1.332751,17.253,215.167,232.420,193.870,true
"sponza_column_c_diff.dds",1,7,20,libdeflate,524416,399315,1.313289,8.842,181.945,190.787,158.949,true
"sponza_curtain_diff.dds",1,7,20,libdeflate,2097280,1510060,1.388872,80.438,601.237,681.674,2347.570,true
