file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,miniz,524416,288362,1.818603,138.980,800.226,939.206,1520.046,true
"big-char.dds",1,7,20,miniz,524416,364356,1.439296,81.751,533.739,615.489,578.309,true
"bricks.dds",1,7,20,miniz,32896,27026,1.217198,16.509,281.067,297.576,1054.083,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,11783604,2.847563,3287.596,6725.036,10012.632,2378.939,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,9648326,3.477760,2060.483,4264.522,6325.006,2049.260,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,9831124,3.413095,2080.499,3853.482,5933.981,3310.796,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,1116122,30.063524,892.019,576.527,1468.546,682.961,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,3716565,9.028380,958.886,1464.346,2423.232,1263.856,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,10284166,3.262740,1488.154,3734.025,5222.179,1307.206,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,10881787,3.083552,1329.156,2974.556,4303.712,1125.384,true
"kodim01.dds",1,7,20,miniz,196736,146292,1.344817,9.627,141.169,150.796,87.967,true
"kodim02.dds",1,7,20,miniz,196736,133761,1.470802,6.993,122.552,129.545,79.897,true
"kodim03.dds",1,7,20,miniz,196736,124642,1.578409,1.397,129.615,131.012,302.937,true
"kodim04.dds",1,7,20,miniz,196736,143276,1.373126,4.002,260.467,264.469,184.753,true
"kodim05.dds",1,7,20,miniz,196736,159598,1.232697,13.077,171.799,184.876,95.714,true
"kodim06.dds",1,7,20,miniz,196736,136318,1.443214,2.276,140.819,143.095,699.061,true
"kodim07.dds",1,7,20,miniz,196736,131167,1.499889,17.862,238.504,256.365,132.433,true
"kodim08.dds",1,7,20,miniz,196736,159148,1.236183,3.128,104.083,107.211,192.953,true
"kodim09.dds",1,7,20,miniz,196736,129761,1.516141,8.452,192.625,201.078,113.039,true
"kodim10.dds",1,7,20,miniz,196736,137986,1.425768,25.789,136.969,162.758,150.100,true
"kodim11.dds",1,7,20,miniz,196736,139869,1.406573,1.844,146.788,148.632,183.772,true
"kodim12.dds",1,7,20,miniz,196736,128360,1.532689,18.702,185.310,204.012,167.235,true
"kodim13.dds",1,7,20,miniz,196736,161615,1.217313,4.519,239.528,244.047,148.933,true
"kodim14.dds",1,7,20,miniz,196736,150781,1.304780,2.669,107.421,110.090,112.677,true
"kodim15.dds",1,7,20,miniz,196736,137228,1.433643,1.837,184.905,186.742,131.716,true
"kodim16.dds",1,7,20,miniz,196736,126091,1.560270,47.653,149.514,197.167,183.552,true
"kodim17.dds",1,7,20,miniz,196736,139617,1.409112,12.253,150.996,163.249,141.597,true
"kodim18.dds",1,7,20,miniz,196736,159436,1.233950,16.433,137.255,153.688,89.361,true
"kodim19.dds",1,7,20,miniz,196736,139930,1.405960,4.358,215.216,219.574,135.795,true
"kodim20.dds",1,7,20,miniz,196736,117601,1.672911,1.932,90.424,92.356,175.606,true
"kodim21.dds",1,7,20,miniz,196736,139186,1.413475,2.572,102.170,104.742,182.641,true
"kodim22.dds",1,7,20,miniz,196736,154179,1.276023,8.053,144.846,152.899,102.590,true
"kodim23.dds",1,7,20,miniz,196736,143749,1.368608,2.567,148.051,150.618,145.281,true
"kodim24.dds",1,7,20,miniz,196736,147000,1.338340,4.240,203.358,207.599,117.602,true
"lorikeet.dds",1,7,20,miniz,131200,109771,1.195215,4.484,148.381,152.866,185.248,true
"mountains.dds",1,7,20,miniz,32896,18322,1.795437,2.992,266.945,269.937,401.200,true
"satellite.dds",1,7,20,miniz,32896,27950,1.176959,87.893,279.774,367.667,259.113,true
"small-char.dds",1,7,20,miniz,131200,72724,1.804081,9.557,152.260,161.817,167.969,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,371725,1.410763,63.335,217.899,281.234,214.851,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,294449,1.781008,52.262,108.763,161.025,201.401,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,366949,1.429125,263.742,435.218,698.960,299.157,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,372612,1.407405,26.807,393.843,420.650,130.289,true
