file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,miniz,524416,524417,288362,Scanline,38.415,893.941,932.356,886.594,true
"big-char.dds",1,7,20,miniz,524416,524417,364356,Z-order,112.393,1276.121,1388.514,757.749,true
"bricks.dds",1,7,20,miniz,32896,32897,27026,Z-order,181.218,487.817,669.035,396.873,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,33554561,11783604,Z-order,2129.432,4349.722,6479.155,1359.329,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,33554561,9648326,Z-order,1990.614,3852.606,5843.220,1473.387,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,33554561,9831124,Z-order,1536.674,3427.350,4964.024,1355.247,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,33554561,1116122,Z-order,820.702,1110.112,1930.814,882.888,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,33554561,3716565,Z-order,1823.382,3135.205,4958.587,1552.091,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,33554561,10284166,Z-order,1903.686,3833.798,5737.483,1722.083,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,33554561,10881787,Z-order,2320.391,3500.279,5820.670,1550.039,true
"kodim01.dds",1,7,20,miniz,196736,196737,146292,Scanline,1.831,164.769,166.600,676.568,true
"kodim02.dds",1,7,20,miniz,196736,196737,133761,Scanline,65.669,291.034,356.703,167.139,true
"kodim03.dds",1,7,20,miniz,196736,196737,124642,Scanline,21.310,171.066,192.375,211.832,true
"kodim04.dds",1,7,20,miniz,196736,196737,143276,Scanline,3.862,166.231,170.092,241.638,true
"kodim05.dds",1,7,20,miniz,196736,196737,159598,Scanline,2.948,236.172,239.119,329.441,true
"kodim06.dds",1,7,20,miniz,196736,196737,136318,Scanline,1.671,230.248,231.920,348.315,true
"kodim07.dds",1,7,20,miniz,196736,196737,131167,Scanline,8.166,268.657,276.823,170.041,true
"kodim08.dds",1,7,20,miniz,196736,196737,159148,Scanline,3.398,210.179,213.577,269.501,true
"kodim09.dds",1,7,20,miniz,196736,196737,129761,Scanline,28.927,325.268,354.194,475.737,true
"kodim10.dds",1,7,20,miniz,196736,196737,137986,Scanline,72.239,371.312,443.550,215.091,true
"kodim11.dds",1,7,20,miniz,196736,196737,139869,Scanline,1.722,154.032,155.754,114.187,true
"kodim12.dds",1,7,20,miniz,196736,196737,128360,Scanline,1.919,225.003,226.922,430.826,true
"kodim13.dds",1,7,20,miniz,196736,196737,161615,Scanline,18.887,168.832,187.719,181.312,true
"kodim14.dds",1,7,20,miniz,196736,196737,150781,Scanline,11.948,188.532,200.481,251.138,true
"kodim15.dds",1,7,20,miniz,196736,196737,137228,Scanline,3.336,217.504,220.840,713.555,true
"kodim16.dds",1,7,20,miniz,196736,196737,126091,Scanline,11.268,319.163,330.431,464.911,true
"kodim17.dds",1,7,20,miniz,196736,196737,139617,Scanline,5.748,379.585,385.334,548.113,true
"kodim18.dds",1,7,20,miniz,196736,196737,159436,Scanline,14.875,115.084,129.959,160.390,true
"kodim19.dds",1,7,20,miniz,196736,196737,139930,Scanline,5.372,293.048,298.421,291.841,true
"kodim20.dds",1,7,20,miniz,196736,196737,117601,Scanline,2.999,383.637,386.636,786.072,true
"kodim21.dds",1,7,20,miniz,196736,196737,139186,Scanline,1.654,216.579,218.233,362.709,true
"kodim22.dds",1,7,20,miniz,196736,196737,154179,Scanline,44.973,350.262,395.235,199.036,true
"kodim23.dds",1,7,20,miniz,196736,196737,143749,Scanline,8.429,115.728,124.157,154.240,true
"kodim24.dds",1,7,20,miniz,196736,196737,147000,Scanline,3.861,266.364,270.225,315.825,true
"lorikeet.dds",1,7,20,miniz,131200,131201,109771,Z-order,4.391,700.389,704.780,483.811,true
"mountains.dds",1,7,20,miniz,32896,32897,18322,Z-order,4.120,580.361,584.481,502.373,true
"satellite.dds",1,7,20,miniz,32896,32897,27950,Scanline,34.291,206.470,240.761,346.431,true
"small-char.dds",1,7,20,miniz,131200,131201,72724,Z-order,176.561,271.575,448.135,395.168,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,524417,371725,Scanline,83.580,273.091,356.670,269.540,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,524417,294449,Scanline,37.351,264.475,301.826,334.655,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,524417,366949,Z-order,57.240,166.629,223.868,130.240,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,524417,372612,Scanline,49.512,331.896,381.408,285.002,true
"sponza_column_b_diff.dds",1,7,20,miniz,524416,524417,393484,Scanline,84.846,565.218,650.064,351.058,true
"sponza_column_c_diff.dds",1,7,20,miniz,524416,524417,399315,Scanline,360.505,386.305,746.810,233.431,true
"sponza_curtain_diff.dds",1,7,20,miniz,2097280,2097281,1510060,Scanline,133.462,672.929,806.390,551.102,true
"sponza_details_diff.dds",1,7,20,miniz,524416,524417,320737,Z-order,32.684,338.249,370.933,248.652,true
"sponza_fabric_green_diff.dds",1,7,20,miniz,524416,524417,325823,Scanline,115.772,509.084,624.856,285.009,true
"sponza_flagpole_diff.dds",1,7,20,miniz,524416,524417,290666,Z-order,64.871,150.102,214.973,233.023,true
"sponza_floor_a_diff.dds",1,7,20,miniz,524416,524417,367043,Scanline,72.964,298.576,371.540,253.411,true
"sponza_roof_diff.dds",1,7,20,miniz,524416,524417,442637,Scanline,65.294,152.495,217.789,186.274,true
"un512.dds",1,7,20,miniz,131200,131201,102630,Scanline,132.648,174.609,307.257,193.584,true
"vase_dif.dds",1,7,20,miniz,524416,524417,383352,Z-order,50.620,288.158,338.778,162.625,true
"vase_hanging.dds",1,7,20,miniz,524416,524417,292126,Scanline,35.937,248.352,284.289,412.858,true
"vase_round.dds",1,7,20,miniz,524416,524417,370773,Scanline,112.161,170.484,282.644,200.642,true
"vector-streets.dds",1,7,20,miniz,32896,32897,7632,Z-order,2.141,216.316,218.456,167.048,true
