file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,libdeflate,524416,524417,288362,Scanline,18.584,198.734,217.318,144.380,true
"big-char.dds",1,7,20,libdeflate,524416,524417,364356,Z-order,27.887,157.367,185.254,349.921,true
"bricks.dds",1,7,20,libdeflate,32896,32897,26975,Scanline,3.635,161.276,164.911,264.639,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,33554561,11783604,Z-order,1104.612,3800.493,4905.106,1322.517,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,33554561,9648326,Z-order,1202.257,2256.742,3458.999,741.127,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,33554561,9831124,Z-order,624.943,2365.686,2990.629,898.825,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,33554561,1116122,Z-order,521.206,520.081,1041.286,793.962,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,33554561,3716565,Z-order,773.501,932.112,1705.614,717.714,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,33554561,10284166,Z-order,567.706,2444.672,3012.378,673.891,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,33554561,10881787,Z-order,559.141,1574.973,2134.114,1049.174,true
"kodim01.dds",1,7,20,libdeflate,196736,196737,146292,Scanline,1.362,69.510,70.871,109.983,true
"kodim02.dds",1,7,20,libdeflate,196736,196737,133761,Scanline,1.288,97.882,99.169,117.602,true
"kodim03.dds",1,7,20,libdeflate,196736,196737,124642,Scanline,1.287,66.425,67.713,56.097,true
"kodim04.dds",1,7,20,libdeflate,196736,196737,143276,Scanline,1.222,52.125,53.347,65.250,true
"kodim05.dds",1,7,20,libdeflate,196736,196737,159598,Scanline,2.537,68.820,71.357,66.447,true
"kodim06.dds",1,7,20,libdeflate,196736,196737,136318,Scanline,4.606,78.383,82.989,78.820,true
