file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,miniz,524416,288362,1.818603,38.415,893.941,932.356,886.594,true
"big-char.dds",1,7,20,miniz,524416,364356,1.439296,112.393,1276.121,1388.514,757.749,true
"bricks.dds",1,7,20,miniz,32896,27026,1.217198,181.218,487.817,669.035,396.873,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,11783604,2.847563,2129.432,4349.722,6479.155,1359.329,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,9648326,3.477760,1990.614,3852.606,5843.220,1473.387,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,9831124,3.413095,1536.674,3427.350,4964.024,1355.247,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,1116122,30.063524,820.702,1110.112,1930.814,882.888,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,3716565,9.028380,1823.382,3135.205,4958.587,1552.091,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,10284166,3.262740,1903.686,3833.798,5737.483,1722.083,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,10881787,3.083552,2320.391,3500.279,5820.670,1550.039,true
"kodim01.dds",1,7,20,miniz,196736,146292,1.344817,1.831,164.769,166.600,676.568,true
"kodim02.dds",1,7,20,miniz,196736,133761,1.470802,65.669,291.034,356.703,167.139,true
"kodim03.dds",1,7,20,miniz,196736,124642,1.578409,21.310,171.066,192.375,211.832,true
"kodim04.dds",1,7,20,miniz,196736,143276,1.373126,3.862,166.231,170.092,241.638,true
"kodim05.dds",1,7,20,miniz,196736,159598,1.232697,2.948,236.172,239.119,329.441,true
"kodim06.dds",1,7,20,miniz,196736,136318,1.443214,1.671,230.248,231.920,348.315,true
"kodim07.dds",1,7,20,miniz,196736,131167,1.499889,8.166,268.657,276.823,170.041,true
"kodim08.dds",1,7,20,miniz,196736,159148,1.236183,3.398,210.179,213.577,269.501,true
"kodim09.dds",1,7,20,miniz,196736,129761,1.516141,28.927,325.268,354.194,475.737,true
"kodim10.dds",1,7,20,miniz,196736,137986,1.425768,72.239,371.312,443.550,215.091,true
"kodim11.dds",1,7,20,miniz,196736,139869,1.406573,1.722,154.032,155.754,114.187,true
"kodim12.dds",1,7,20,miniz,196736,128360,1.532689,1.919,225.003,226.922,430.826,true
"kodim13.dds",1,7,20,miniz,196736,161615,1.217313,18.887,168.832,187.719,181.312,true
"kodim14.dds",1,7,20,miniz,196736,150781,1.304780,11.948,188.532,200.481,251.138,true
"kodim15.dds",1,7,20,miniz,196736,137228,1.433643,3.336,217.504,220.840,713.555,true
"kodim16.dds",1,7,20,miniz,196736,126091,1.560270,11.268,319.163,330.431,464.911,true
"kodim17.dds",1,7,20,miniz,196736,139617,1.409112,5.748,379.585,385.334,548.113,true
"kodim18.dds",1,7,20,miniz,196736,159436,1.233950,14.875,115.084,129.959,160.390,true
"kodim19.dds",1,7,20,miniz,196736,139930,1.405960,5.372,293.048,298.421,291.841,true
