file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,miniz,524416,524417,288362,Scanline,126.552,298.922,425.474,349.693,true
"big-char.dds",1,7,20,miniz,524416,524417,364356,Z-order,97.949,272.386,370.334,198.961,true
"bricks.dds",1,7,20,miniz,32896,32897,27026,Z-order,2.791,198.313,201.104,232.341,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,33554561,11783604,Z-order,2396.025,5050.246,7446.271,1938.723,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,33554561,9648326,Z-order,1424.905,3164.264,4589.169,1264.868,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,33554561,9831124,Z-order,1402.656,3599.903,5002.559,1228.816,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,33554561,1116122,Z-order,824.161,638.892,1463.053,846.757,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,33554561,3716565,Z-order,1099.579,2067.624,3167.202,918.163,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,33554561,10284166,Z-order,1555.381,3799.522,5354.903,2598.630,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,33554561,10881787,Z-order,1916.373,3306.431,5222.803,1829.195,true
"kodim01.dds",1,7,20,miniz,196736,196737,146292,Scanline,1.539,255.609,257.147,767.740,true
"kodim02.dds",1,7,20,miniz,196736,196737,133761,Scanline,54.561,551.686,606.247,400.421,true
"kodim03.dds",1,7,20,miniz,196736,196737,124642,Scanline,31.582,277.624,309.206,190.565,true
"kodim04.dds",1,7,20,miniz,196736,196737,143276,Scanline,3.053,159.015,162.068,329.570,true
"kodim05.dds",1,7,20,miniz,196736,196737,159598,Scanline,73.254,236.116,309.370,128.695,true
"kodim06.dds",1,7,20,miniz,196736,196737,136318,Scanline,1.472,114.735,116.207,102.417,true
"kodim07.dds",1,7,20,miniz,196736,196737,131167,Scanline,2.543,194.998,197.541,134.358,true
"kodim08.dds",1,7,20,miniz,196736,196737,159148,Scanline,7.334,140.985,148.319,95.045,true
"kodim09.dds",1,7,20,miniz,196736,196737,129761,Scanline,8.293,124.851,133.144,130.573,true
"kodim10.dds",1,7,20,miniz,196736,196737,137986,Scanline,33.442,136.633,170.075,164.813,true
"kodim11.dds",1,7,20,miniz,196736,196737,139869,Scanline,1.699,138.441,140.140,160.517,true
"kodim12.dds",1,7,20,miniz,196736,196737,128360,Scanline,2.717,124.120,126.837,128.050,true
"kodim13.dds",1,7,20,miniz,196736,196737,161615,Scanline,9.805,146.686,156.491,174.227,true
"kodim14.dds",1,7,20,miniz,196736,196737,150781,Scanline,1.738,136.551,138.290,164.228,true
"kodim15.dds",1,7,20,miniz,196736,196737,137228,Scanline,12.012,172.520,184.532,247.584,true
"kodim16.dds",1,7,20,miniz,196736,196737,126091,Scanline,1.783,200.020,201.803,315.033,true
"kodim17.dds",1,7,20,miniz,196736,196737,139617,Scanline,3.101,121.881,124.982,131.848,true
"kodim18.dds",1,7,20,miniz,196736,196737,159436,Scanline,1.478,119.052,120.530,165.531,true
"kodim19.dds",1,7,20,miniz,196736,196737,139930,Scanline,5.138,107.395,112.534,153.834,true
"kodim20.dds",1,7,20,miniz,196736,196737,117601,Scanline,6.432,92.890,99.322,118.663,true
"kodim21.dds",1,7,20,miniz,196736,196737,139186,Scanline,4.184,108.248,112.432,171.146,true
"kodim22.dds",1,7,20,miniz,196736,196737,154179,Scanline,8.833,134.156,142.989,128.446,true
"kodim23.dds",1,7,20,miniz,196736,196737,143749,Scanline,3.108,127.309,130.418,130.343,true
"kodim24.dds",1,7,20,miniz,196736,196737,147000,Scanline,2.557,118.546,121.103,133.014,true
"lorikeet.dds",1,7,20,miniz,131200,131201,109771,Z-order,168.298,487.608,655.905,212.976,true
"mountains.dds",1,7,20,miniz,32896,32897,18322,Z-order,16.148,335.331,351.479,252.300,true
"satellite.dds",1,7,20,miniz,32896,32897,27950,Scanline,2.613,151.055,153.668,146.725,true
"small-char.dds",1,7,20,miniz,131200,131201,72724,Z-order,14.382,156.560,170.942,199.884,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,524417,371725,Scanline,24.462,225.713,250.175,114.235,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,524417,294449,Scanline,12.890,147.741,160.631,158.304,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,524417,366949,Z-order,27.255,161.810,189.065,129.176,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,524417,372612,Scanline,16.117,171.413,187.530,168.898,true
"sponza_column_b_diff.dds",1,7,20,miniz,524416,524417,393484,Scanline,103.572,313.651,417.223,111.283,true
"sponza_column_c_diff.dds",1,7,20,miniz,524416,524417,399315,Scanline,20.639,136.026,156.665,141.616,true
"sponza_curtain_diff.dds",1,7,20,miniz,2097280,2097281,1510060,Scanline,101.871,383.208,485.079,191.900,true
"sponza_details_diff.dds",1,7,20,miniz,524416,524417,320737,Z-order,30.743,192.787,223.530,116.182,true
"sponza_fabric_green_diff.dds",1,7,20,miniz,524416,524417,325823,Scanline,38.969,145.798,184.768,146.322,true
"sponza_flagpole_diff.dds",1,7,20,miniz,524416,524417,290666,Z-order,26.607,165.591,192.198,161.019,true
"sponza_floor_a_diff.dds",1,7,20,miniz,524416,524417,367043,Scanline,44.453,190.799,235.252,146.472,true
"sponza_roof_diff.dds",1,7,20,miniz,524416,524417,442637,Scanline,35.424,185.184,220.608,167.382,true
