file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"background.dds",1,7,20,miniz,524416,288362,1.818603,126.552,298.922,425.474,349.693,true
"big-char.dds",1,7,20,miniz,524416,364356,1.439296,97.949,272.386,370.334,198.961,true
"bricks.dds",1,7,20,miniz,32896,27026,1.217198,2.791,198.313,201.104,232.341,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,11783604,2.847563,2396.025,5050.246,7446.271,1938.723,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,9648326,3.477760,1424.905,3164.264,4589.169,1264.868,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,9831124,3.413095,1402.656,3599.903,5002.559,1228.816,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,1116122,30.063524,824.161,638.892,1463.053,846.757,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,3716565,9.028380,1099.579,2067.624,3167.202,918.163,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,10284166,3.262740,1555.381,3799.522,5354.903,2598.630,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,10881787,3.083552,1916.373,3306.431,5222.803,1829.195,true
"kodim01.dds",1,7,20,miniz,196736,146292,1.344817,1.539,255.609,257.147,767.740,true
"kodim02.dds",1,7,20,miniz,196736,133761,1.470802,54.561,551.686,606.247,400.421,true
"kodim03.dds",1,7,20,miniz,196736,124642,1.578409,31.582,277.624,309.206,190.565,true
"kodim04.dds",1,7,20,miniz,196736,143276,1.373126,3.053,159.015,162.068,329.570,true
"kodim05.dds",1,7,20,miniz,196736,159598,1.232697,73.254,236.116,309.370,128.695,true
"kodim06.dds",1,7,20,miniz,196736,136318,1.443214,1.472,114.735,116.207,102.417,true
"kodim07.dds",1,7,20,miniz,196736,131167,1.499889,2.543,194.998,197.541,134.358,true
"kodim08.dds",1,7,20,miniz,196736,159148,1.236183,7.334,140.985,148.319,95.045,true
"kodim09.dds",1,7,20,miniz,196736,129761,1.516141,8.293,124.851,133.144,130.573,true
"kodim10.dds",1,7,20,miniz,196736,137986,1.425768,33.442,136.633,170.075,164.813,true
"kodim11.dds",1,7,20,miniz,196736,139869,1.406573,1.699,138.441,140.140,160.517,true
"kodim12.dds",1,7,20,miniz,196736,128360,1.532689,2.717,124.120,126.837,128.050,true
"kodim13.dds",1,7,20,miniz,196736,161615,1.217313,9.805,146.686,156.491,174.227,true
"kodim14.dds",1,7,20,miniz,196736,150781,1.304780,1.738,136.551,138.290,164.228,true
"kodim15.dds",1,7,20,miniz,196736,137228,1.433643,12.012,172.520,184.532,247.584,true
"kodim16.dds",1,7,20,miniz,196736,126091,1.560270,1.783,200.020,201.803,315.033,true
"kodim17.dds",1,7,20,miniz,196736,139617,1.409112,3.101,121.881,124.982,131.848,true
"kodim18.dds",1,7,20,miniz,196736,159436,1.233950,1.478,119.052,120.530,165.531,true
"kodim19.dds",1,7,20,miniz,196736,139930,1.405960,5.138,107.395,112.534,153.834,true
"kodim20.dds",1,7,20,miniz,196736,117601,1.672911,6.432,92.890,99.322,118.663,true
"kodim21.dds",1,7,20,miniz,196736,139186,1.413475,4.184,108.248,112.432,171.146,true
