file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,miniz,524416,524417,288362,Scanline,258.460,855.525,1113.985,513.744,true
"big-char.dds",1,7,20,miniz,524416,524417,364356,Z-order,297.328,275.286,572.614,462.493,true
"bricks.dds",1,7,20,miniz,32896,32897,27026,Z-order,30.749,234.289,265.037,746.092,true
"iscv2_u1_v1.dds",1,7,20,miniz,33554560,33554561,11783604,Z-order,1882.946,4807.953,6690.900,5044.311,true
"iscv2_u1_v2.dds",1,7,20,miniz,33554560,33554561,9648326,Z-order,6787.899,12208.857,18996.756,8936.777,true
"iscv2_u2_v1.dds",1,7,20,miniz,33554560,33554561,9831124,Z-order,5487.244,11807.999,17295.242,6574.079,true
"iscv2_u2_v2.dds",1,7,20,miniz,33554560,33554561,1116122,Z-order,2534.528,4722.937,7257.465,5165.741,true
"iscv2_u2_v4.dds",1,7,20,miniz,33554560,33554561,3716565,Z-order,2568.434,5063.820,7632.253,2787.749,true
"iscv2_u3_v1.dds",1,7,20,miniz,33554560,33554561,10284166,Z-order,3059.860,12878.077,15937.936,9200.398,true
"iscv2_u4_v1.dds",1,7,20,miniz,33554560,33554561,10881787,Z-order,4216.329,9268.216,13484.544,7376.534,true
"kodim01.dds",1,7,20,miniz,196736,196737,146292,Scanline,1.698,250.258,251.956,479.362,true
"kodim02.dds",1,7,20,miniz,196736,196737,133761,Scanline,3.841,229.347,233.188,158.223,true
"kodim03.dds",1,7,20,miniz,196736,196737,124642,Scanline,16.948,142.754,159.702,460.435,true
"kodim04.dds",1,7,20,miniz,196736,196737,143276,Scanline,14.550,309.784,324.334,435.036,true
"kodim05.dds",1,7,20,miniz,196736,196737,159598,Scanline,45.347,219.878,265.225,184.371,true
"kodim06.dds",1,7,20,miniz,196736,196737,136318,Scanline,1.179,167.762,168.940,184.070,true
"kodim07.dds",1,7,20,miniz,196736,196737,131167,Scanline,12.053,173.479,185.532,249.445,true
"kodim08.dds",1,7,20,miniz,196736,196737,159148,Scanline,3.154,232.932,236.086,221.522,true
"kodim09.dds",1,7,20,miniz,196736,196737,129761,Scanline,2.895,224.032,226.927,239.086,true
"kodim10.dds",1,7,20,miniz,196736,196737,137986,Scanline,2.656,228.774,231.431,307.940,true
"kodim11.dds",1,7,20,miniz,196736,196737,139869,Scanline,434.447,500.347,934.794,252.923,true
"kodim12.dds",1,7,20,miniz,196736,196737,128360,Scanline,3.924,217.476,221.399,198.486,true
"kodim13.dds",1,7,20,miniz,196736,196737,161615,Scanline,4.721,318.023,322.744,197.223,true
"kodim14.dds",1,7,20,miniz,196736,196737,150781,Scanline,5.734,431.191,436.925,315.911,true
"kodim15.dds",1,7,20,miniz,196736,196737,137228,Scanline,4.366,128.441,132.807,185.777,true
"kodim16.dds",1,7,20,miniz,196736,196737,126091,Scanline,1.526,154.404,155.930,232.185,true
"kodim17.dds",1,7,20,miniz,196736,196737,139617,Scanline,4.460,274.002,278.463,198.769,true
"kodim18.dds",1,7,20,miniz,196736,196737,159436,Scanline,1.514,251.272,252.786,274.986,true
"kodim19.dds",1,7,20,miniz,196736,196737,139930,Scanline,5.508,186.248,191.756,167.792,true
"kodim20.dds",1,7,20,miniz,196736,196737,117601,Scanline,4.644,131.202,135.846,152.082,true
"kodim21.dds",1,7,20,miniz,196736,196737,139186,Scanline,4.892,132.653,137.545,213.042,true
"kodim22.dds",1,7,20,miniz,196736,196737,154179,Scanline,5.467,142.090,147.557,131.878,true
"kodim23.dds",1,7,20,miniz,196736,196737,143749,Scanline,2.415,127.425,129.840,139.605,true
"kodim24.dds",1,7,20,miniz,196736,196737,147000,Scanline,14.425,1202.247,1216.672,830.845,true
"lorikeet.dds",1,7,20,miniz,131200,131201,109771,Z-order,28.230,151.179,179.409,241.805,true
"mountains.dds",1,7,20,miniz,32896,32897,18322,Z-order,1.395,259.083,260.478,988.456,true
"satellite.dds",1,7,20,miniz,32896,32897,27950,Scanline,2.254,270.140,272.394,243.619,true
"small-char.dds",1,7,20,miniz,131200,131201,72724,Z-order,16.778,200.526,217.304,122.685,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,524417,371725,Scanline,54.603,177.177,231.779,295.933,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,524417,294449,Scanline,23.225,187.999,211.225,229.621,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,524417,366949,Z-order,78.192,186.655,264.848,300.973,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,524417,372612,Scanline,43.817,278.234,322.051,288.776,true
"sponza_column_b_diff.dds",1,7,20,miniz,524416,524417,393484,Scanline,146.492,469.759,616.251,162.503,true
"sponza_column_c_diff.dds",1,7,20,miniz,524416,524417,399315,Scanline,49.051,183.460,232.511,195.779,true
"sponza_curtain_diff.dds",1,7,20,miniz,2097280,2097281,1510060,Scanline,128.180,377.461,505.641,334.420,true
"sponza_details_diff.dds",1,7,20,miniz,524416,524417,320737,Z-order,67.501,1008.682,1076.183,323.265,true
"sponza_fabric_green_diff.dds",1,7,20,miniz,524416,524417,325823,Scanline,24.091,383.615,407.706,131.544,true
"sponza_flagpole_diff.dds",1,7,20,miniz,524416,524417,290666,Z-order,24.128,176.613,200.741,158.038,true
"sponza_floor_a_diff.dds",1,7,20,miniz,524416,524417,367043,Scanline,74.545,187.796,262.341,131.444,true
"sponza_roof_diff.dds",1,7,20,miniz,524416,524417,442637,Scanline,17.253,181.654,198.907,133.171,true
"un512.dds",1,7,20,miniz,131200,131201,102630,Scanline,68.916,124.756,193.672,171.188,true
"vase_dif.dds",1,7,20,miniz,524416,524417,383352,Z-order,25.765,231.286,257.051,134.808,true
"vase_hanging.dds",1,7,20,miniz,524416,524417,292126,Scanline,66.266,268.737,335.004,244.353,true
"vase_round.dds",1,7,20,miniz,524416,524417,370773,Scanline,18.748,490.113,508.861,229.935,true
"vector-streets.dds",1,7,20,miniz,32896,32897,7632,Z-order,7.298,163.635,170.932,129.956,true
