file,sample_percent,runs,selected_method,original_bytes,compressed_bytes,compressed_percent,preprocess_avg_ms,secondary_avg_ms,total_encode_avg_ms,total_decode_avg_ms,matches_100_percent,all_verified
"sponza_ceiling_a_diff.dds",100,5,Z-order,524416,366949,69.972884,41.351,84.664,126.015,65.066,true,true
"sponza_ceiling_a_diff.dds",20,5,Z-order,524416,366949,69.972884,11.333,82.502,93.835,67.512,true,true
"sponza_ceiling_a_diff.dds",10,5,Z-order,524416,366949,69.972884,10.315,120.664,130.979,76.035,true,true
"sponza_column_a_diff.dds",100,5,Scanline,524416,372612,71.052752,38.807,66.912,105.719,73.807,true,true
"sponza_column_a_diff.dds",20,5,Scanline,524416,372612,71.052752,10.244,82.116,92.360,76.913,true,true
"sponza_column_a_diff.dds",10,5,Scanline,524416,372612,71.052752,7.961,71.127,79.088,65.766,true,true
"sponza_column_b_diff.dds",100,5,Scanline,524416,393484,75.032798,52.003,139.135,191.137,65.904,true,true
"sponza_column_b_diff.dds",20,5,Scanline,524416,393484,75.032798,10.336,95.354,105.690,71.140,true,true
"sponza_column_b_diff.dds",10,5,Scanline,524416,393484,75.032798,7.732,65.433,73.165,67.732,true,true
"sponza_column_c_diff.dds",100,5,Scanline,524416,399315,76.144702,46.545,146.552,193.097,123.142,true,true
"sponza_column_c_diff.dds",20,5,Scanline,524416,399315,76.144702,14.850,74.531,89.382,75.543,true,true
"sponza_column_c_diff.dds",10,5,Scanline,524416,399315,76.144702,10.637,80.125,90.762,113.073,true,true
"sponza_curtain_diff.dds",100,5,Z-order,2097280,1512618,72.122845,180.047,153.232,333.279,91.351,true,true
"sponza_curtain_diff.dds",20,5,Scanline,2097280,1510060,72.000877,44.015,161.341,205.357,88.554,false,true
"sponza_curtain_diff.dds",10,5,Scanline,2097280,1510060,72.000877,34.734,156.676,191.410,85.032,false,true
"sponza_details_diff.dds",100,5,Z-order,524416,320737,61.160796,39.945,79.933,119.878,70.243,true,true
"sponza_details_diff.dds",20,5,Z-order,524416,320737,61.160796,12.980,79.256,92.236,65.460,true,true
"sponza_details_diff.dds",10,5,Z-order,524416,320737,61.160796,6.056,82.264,88.320,58.526,true,true
"sponza_fabric_green_diff.dds",100,5,Scanline,524416,325823,62.130637,46.039,95.750,141.789,60.228,true,true
"sponza_fabric_green_diff.dds",20,5,Scanline,524416,325823,62.130637,10.914,90.738,101.652,60.976,true,true
"sponza_fabric_green_diff.dds",10,5,Scanline,524416,325823,62.130637,7.936,99.267,107.203,58.957,true,true
"sponza_flagpole_diff.dds",100,5,Z-order,524416,290666,55.426608,40.027,81.342,121.369,74.716,true,true
"sponza_flagpole_diff.dds",20,5,Z-order,524416,290666,55.426608,12.775,84.849,97.624,72.673,true,true
"sponza_flagpole_diff.dds",10,5,Z-order,524416,290666,55.426608,4.709,76.153,80.862,70.839,true,true
"sponza_floor_a_diff.dds",100,5,Scanline,524416,367043,69.990809,36.609,77.897,114.507,60.557,true,true
"sponza_floor_a_diff.dds",20,5,Scanline,524416,367043,69.990809,9.736,75.675,85.411,59.056,true,true
"sponza_floor_a_diff.dds",10,5,Scanline,524416,367043,69.990809,7.618,67.888,75.507,60.558,true,true
"sponza_roof_diff.dds",100,5,Scanline,524416,442637,84.405701,33.295,68.809,102.104,64.377,true,true
"sponza_roof_diff.dds",20,5,Scanline,524416,442637,84.405701,9.489,71.388,80.877,77.537,true,true
"sponza_roof_diff.dds",10,5,Scanline,524416,442637,84.405701,6.465,83.402,89.867,74.898,true,true
"un512.dds",100,5,Scanline,131200,102630,78.224085,20.346,87.926,108.272,94.845,true,true
"un512.dds",20,5,Scanline,131200,102630,78.224085,5.219,111.078,116.297,71.784,true,true
"un512.dds",10,5,Z-order,131200,102890,78.422256,4.515,84.497,89.012,87.543,false,true
